mpg;l/100km;cylinders;displacement (cu in);displacement (cc);horsepower;weight (lb);weight (kg);acceleration (0-60mph);model_year;car_name;
18,0;13,07;8;307;5030,83;130;3504;1589,39;12;1970;chevrolet chevelle malibu;
15,0;15,68;8;350;5735,47;165;3693;1675,12;11,5;1970;buick skylark 320;
18,0;13,07;8;318;5211,09;150;3436;1558,54;11;1970;plymouth satellite;
16,0;14,70;8;304;4981,67;150;3433;1557,18;12;1970;amc rebel sst;
17,0;13,84;8;302;4948,89;140;3449;1564,44;10,5;1970;ford torino;
15,0;15,68;8;429;7030,05;198;4341;1969,04;10;1970;ford galaxie 500;
14,0;16,80;8;454;7439,73;220;4354;1974,94;9;1970;chevrolet impala;
14,0;16,80;8;440;7210,31;215;4312;1955,89;8,5;1970;plymouth fury iii;
14,0;16,80;8;455;7456,11;225;4425;2007,15;10;1970;pontiac catalina;
15,0;15,68;8;390;6390,95;190;3850;1746,33;8,5;1970;amc ambassador dpl;
NA;NA;4;133;2179,48;115;3090;1401,60;17,5;1970;citroen ds-21 pallas;
NA;NA;8;350;5735,47;165;4142;1878,78;11,5;1970;chevrolet chevelle concours (sw);
NA;NA;8;351;5751,86;153;4034;1829,79;11;1970;ford torino (sw);
NA;NA;8;383;6276,25;175;4166;1889,67;10,5;1970;plymouth satellite (sw);
NA;NA;8;360;5899,34;175;3850;1746,33;11;1970;amc rebel sst (sw);
15,0;15,68;8;383;6276,25;170;3563;1616,15;10;1970;dodge challenger se;
14,0;16,80;8;340;5571,60;160;3609;1637,01;8;1970;plymouth 'cuda 340;
NA;NA;8;302;4948,89;140;3353;1520,90;8;1970;ford mustang boss 302;
15,0;15,68;8;400;6554,83;150;3761;1705,96;9,5;1970;chevrolet monte carlo;
14,0;16,80;8;455;7456,11;225;3086;1399,79;10;1970;buick estate wagon (sw);
24,0;9,80;4;113;1851,74;95;2372;1075,92;15;1970;toyota corona mark ii;
22,0;10,69;6;198;3244,64;95;2833;1285,03;15,5;1970;plymouth duster;
18,0;13,07;6;199;3261,03;97;2774;1258,27;15,5;1970;amc hornet;
21,0;11,20;6;200;3277,41;85;2587;1173,44;16;1970;ford maverick;
27,0;8,71;4;97;1589,55;88;2130;966,15;14,5;1970;datsun pl510;
26,0;9,05;4;97;1589,55;46;1835;832,34;20,5;1970;volkswagen 1131 deluxe sedan;
25,0;9,41;4;110;1802,58;87;2672;1212,00;17,5;1970;peugeot 504;
24,0;9,80;4;107;1753,42;90;2430;1102,23;14,5;1970;audi 100 ls;
25,0;9,41;4;104;1704,25;95;2375;1077,28;17,5;1970;saab 99e;
26,0;9,05;4;121;1982,83;113;2234;1013,33;12,5;1970;bmw 2002;
